2025-10-24 05:36:56,958 - DEBUG - Read EV_01 reg 0: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:56,958 - DEBUG - Read EV_01 reg 2: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:56,958 - DEBUG - Read EV_01 reg 4: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:56,958 - DEBUG - Read EV_01 reg 6: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:56,958 - DEBUG - Read EV_01 reg 8: value=22.00, int_value=2200, bytes=00000898
2025-10-24 05:36:56,958 - DEBUG - Read EV_01 reg 10: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:56,958 - DEBUG - Read EV_01 reg 12: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:56,958 - DEBUG - Read EV_01 reg 14: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:56,958 - DEBUG - Read EV_01 reg 16: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:56,958 - DEBUG - Read EV_01 reg 18: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:56,958 - DEBUG - Read EV_01 reg 20: value=1.00, int_value=100, bytes=00000064
2025-10-24 05:36:56,958 - DEBUG - Read EV_01 reg 22: value=20000.00, int_value=2000000, bytes=001e8480
2025-10-24 05:36:57,956 - INFO - Processing request from ('192.168.56.1', 57276) for Slave ID: 4, data: 37bf00000006040300000018
2025-10-24 05:36:57,956 - INFO - Processing request for EV_01, Function: 3, Address: 0, start time: 05:36:57, Slave ID: 4
2025-10-24 05:36:57,956 - DEBUG - Read EV_01 reg 0: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:57,956 - DEBUG - Read EV_01 reg 2: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:57,956 - DEBUG - Read EV_01 reg 4: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:57,956 - DEBUG - Read EV_01 reg 6: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:57,956 - DEBUG - Read EV_01 reg 8: value=22.00, int_value=2200, bytes=00000898
2025-10-24 05:36:57,956 - DEBUG - Read EV_01 reg 10: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:57,956 - DEBUG - Read EV_01 reg 12: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:57,956 - DEBUG - Read EV_01 reg 14: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:57,956 - DEBUG - Read EV_01 reg 16: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:57,956 - DEBUG - Read EV_01 reg 18: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:57,956 - DEBUG - Read EV_01 reg 20: value=1.00, int_value=100, bytes=00000064
2025-10-24 05:36:57,956 - DEBUG - Read EV_01 reg 22: value=20000.00, int_value=2000000, bytes=001e8480
2025-10-24 05:36:58,949 - INFO - Processing request from ('192.168.56.1', 57276) for Slave ID: 4, data: 37c000000006040300000018
2025-10-24 05:36:58,949 - INFO - Processing request for EV_01, Function: 3, Address: 0, start time: 05:36:58, Slave ID: 4
2025-10-24 05:36:58,950 - DEBUG - Read EV_01 reg 0: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:58,950 - DEBUG - Read EV_01 reg 2: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:58,950 - DEBUG - Read EV_01 reg 4: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:58,950 - DEBUG - Read EV_01 reg 6: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:58,950 - DEBUG - Read EV_01 reg 8: value=22.00, int_value=2200, bytes=00000898
2025-10-24 05:36:58,950 - DEBUG - Read EV_01 reg 10: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:58,950 - DEBUG - Read EV_01 reg 12: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:58,950 - DEBUG - Read EV_01 reg 14: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:58,950 - DEBUG - Read EV_01 reg 16: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:58,950 - DEBUG - Read EV_01 reg 18: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:58,950 - DEBUG - Read EV_01 reg 20: value=1.00, int_value=100, bytes=00000064
2025-10-24 05:36:58,950 - DEBUG - Read EV_01 reg 22: value=20000.00, int_value=2000000, bytes=001e8480
2025-10-24 05:36:59,946 - INFO - Processing request from ('192.168.56.1', 57276) for Slave ID: 4, data: 37c100000006040300000018
2025-10-24 05:36:59,946 - INFO - Processing request for EV_01, Function: 3, Address: 0, start time: 05:36:59, Slave ID: 4
2025-10-24 05:36:59,947 - DEBUG - Read EV_01 reg 0: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:59,947 - DEBUG - Read EV_01 reg 2: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:59,947 - DEBUG - Read EV_01 reg 4: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:59,947 - DEBUG - Read EV_01 reg 6: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:59,947 - DEBUG - Read EV_01 reg 8: value=22.00, int_value=2200, bytes=00000898
2025-10-24 05:36:59,947 - DEBUG - Read EV_01 reg 10: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:59,947 - DEBUG - Read EV_01 reg 12: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:59,947 - DEBUG - Read EV_01 reg 14: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:59,947 - DEBUG - Read EV_01 reg 16: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:59,947 - DEBUG - Read EV_01 reg 18: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:36:59,947 - DEBUG - Read EV_01 reg 20: value=1.00, int_value=100, bytes=00000064
2025-10-24 05:36:59,947 - DEBUG - Read EV_01 reg 22: value=20000.00, int_value=2000000, bytes=001e8480
2025-10-24 05:37:00,949 - INFO - Processing request from ('192.168.56.1', 57276) for Slave ID: 4, data: 37c200000006040300000018
2025-10-24 05:37:00,950 - INFO - Processing request for EV_01, Function: 3, Address: 0, start time: 05:37:00, Slave ID: 4
2025-10-24 05:37:00,950 - DEBUG - Read EV_01 reg 0: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:00,950 - DEBUG - Read EV_01 reg 2: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:00,950 - DEBUG - Read EV_01 reg 4: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:00,950 - DEBUG - Read EV_01 reg 6: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:00,950 - DEBUG - Read EV_01 reg 8: value=22.00, int_value=2200, bytes=00000898
2025-10-24 05:37:00,950 - DEBUG - Read EV_01 reg 10: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:00,950 - DEBUG - Read EV_01 reg 12: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:00,950 - DEBUG - Read EV_01 reg 14: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:00,950 - DEBUG - Read EV_01 reg 16: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:00,950 - DEBUG - Read EV_01 reg 18: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:00,950 - DEBUG - Read EV_01 reg 20: value=1.00, int_value=100, bytes=00000064
2025-10-24 05:37:00,950 - DEBUG - Read EV_01 reg 22: value=20000.00, int_value=2000000, bytes=001e8480
2025-10-24 05:37:01,946 - INFO - Processing request from ('192.168.56.1', 57276) for Slave ID: 4, data: 37c300000006040300000018
2025-10-24 05:37:01,947 - INFO - Processing request for EV_01, Function: 3, Address: 0, start time: 05:37:01, Slave ID: 4
2025-10-24 05:37:01,947 - DEBUG - Read EV_01 reg 0: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:01,947 - DEBUG - Read EV_01 reg 2: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:01,947 - DEBUG - Read EV_01 reg 4: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:01,947 - DEBUG - Read EV_01 reg 6: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:01,947 - DEBUG - Read EV_01 reg 8: value=22.00, int_value=2200, bytes=00000898
2025-10-24 05:37:01,947 - DEBUG - Read EV_01 reg 10: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:01,947 - DEBUG - Read EV_01 reg 12: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:01,948 - DEBUG - Read EV_01 reg 14: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:01,948 - DEBUG - Read EV_01 reg 16: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:01,948 - DEBUG - Read EV_01 reg 18: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:01,948 - DEBUG - Read EV_01 reg 20: value=1.00, int_value=100, bytes=00000064
2025-10-24 05:37:01,948 - DEBUG - Read EV_01 reg 22: value=20000.00, int_value=2000000, bytes=001e8480
2025-10-24 05:37:02,945 - INFO - Processing request from ('192.168.56.1', 57276) for Slave ID: 4, data: 37c400000006040300000018
2025-10-24 05:37:02,945 - INFO - Processing request for EV_01, Function: 3, Address: 0, start time: 05:37:02, Slave ID: 4
2025-10-24 05:37:02,945 - DEBUG - Read EV_01 reg 0: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:02,945 - DEBUG - Read EV_01 reg 2: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:02,945 - DEBUG - Read EV_01 reg 4: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:02,945 - DEBUG - Read EV_01 reg 6: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:02,945 - DEBUG - Read EV_01 reg 8: value=22.00, int_value=2200, bytes=00000898
2025-10-24 05:37:02,945 - DEBUG - Read EV_01 reg 10: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:02,945 - DEBUG - Read EV_01 reg 12: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:02,945 - DEBUG - Read EV_01 reg 14: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:02,945 - DEBUG - Read EV_01 reg 16: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:02,945 - DEBUG - Read EV_01 reg 18: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:02,945 - DEBUG - Read EV_01 reg 20: value=1.00, int_value=100, bytes=00000064
2025-10-24 05:37:02,945 - DEBUG - Read EV_01 reg 22: value=20000.00, int_value=2000000, bytes=001e8480
2025-10-24 05:37:03,962 - INFO - Processing request from ('192.168.56.1', 57276) for Slave ID: 4, data: 37c500000006040300000018
2025-10-24 05:37:03,963 - INFO - Processing request for EV_01, Function: 3, Address: 0, start time: 05:37:03, Slave ID: 4
2025-10-24 05:37:03,963 - DEBUG - Read EV_01 reg 0: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:03,963 - DEBUG - Read EV_01 reg 2: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:03,963 - DEBUG - Read EV_01 reg 4: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:03,963 - DEBUG - Read EV_01 reg 6: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:03,963 - DEBUG - Read EV_01 reg 8: value=22.00, int_value=2200, bytes=00000898
2025-10-24 05:37:03,963 - DEBUG - Read EV_01 reg 10: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:03,963 - DEBUG - Read EV_01 reg 12: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:03,963 - DEBUG - Read EV_01 reg 14: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:03,963 - DEBUG - Read EV_01 reg 16: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:03,963 - DEBUG - Read EV_01 reg 18: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:03,963 - DEBUG - Read EV_01 reg 20: value=1.00, int_value=100, bytes=00000064
2025-10-24 05:37:03,963 - DEBUG - Read EV_01 reg 22: value=20000.00, int_value=2000000, bytes=001e8480
2025-10-24 05:37:04,459 - ERROR - Accept failed: [Errno 9] Bad file descriptor
2025-10-24 05:37:04,961 - INFO - Processing request from ('192.168.56.1', 57276) for Slave ID: 4, data: 37c600000006040300000018
2025-10-24 05:37:04,961 - INFO - Processing request for EV_01, Function: 3, Address: 0, start time: 05:37:04, Slave ID: 4
2025-10-24 05:37:04,961 - DEBUG - Read EV_01 reg 0: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:04,961 - DEBUG - Read EV_01 reg 2: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:04,961 - DEBUG - Read EV_01 reg 4: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:04,962 - DEBUG - Read EV_01 reg 6: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:04,962 - DEBUG - Read EV_01 reg 8: value=22.00, int_value=2200, bytes=00000898
2025-10-24 05:37:04,962 - DEBUG - Read EV_01 reg 10: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:04,962 - DEBUG - Read EV_01 reg 12: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:04,962 - DEBUG - Read EV_01 reg 14: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:04,962 - DEBUG - Read EV_01 reg 16: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:04,962 - DEBUG - Read EV_01 reg 18: value=0.00, int_value=0, bytes=00000000
2025-10-24 05:37:04,962 - DEBUG - Read EV_01 reg 20: value=1.00, int_value=100, bytes=00000064
2025-10-24 05:37:04,962 - DEBUG - Read EV_01 reg 22: value=20000.00, int_value=2000000, bytes=001e8480
2025-10-24 05:37:05,460 - ERROR - Accept failed: [Errno 9] Bad file descriptor
